dropout,depth,hidden_size,ffn_num_layers,test_AUC
0.12732681845841393,4,350,5,0.7424098069105691
0.49194176216119795,5,350,3,0.6188389227642276
0.48812077462132647,4,350,2,0.6501524390243902
0.40933457201248563,4,350,3,0.6710175304878048
0.435890076396884,4,300,2,0.6427527947154471
0.1161928523785819,5,350,2,0.6455792682926831
0.047606466767182665,3,300,3,0.6901041666666667
0.20914955075757918,4,400,3,0.7081427845528455
0.2566220217340092,4,400,5,0.713891006097561
0.41593140399365464,3,350,4,0.7134781504065041
0.1311226372995955,5,600,5,0.7441247459349594
0.3111540667400711,4,400,4,0.6972497459349593
0.34942519316758,4,350,2,0.6989646849593496
0.045330970683550464,5,550,3,0.7285632621951219
0.21311441281514387,5,600,4,0.7090955284552845
0.47490418946508095,4,550,2,0.6769245426829269
0.059221630821061744,4,500,5,0.7459349593495934
0.19596565645089492,3,600,3,0.6915650406504065
0.3111110029275188,3,600,2,0.7148119918699187
0.31420295116383373,5,450,2,0.564183180894309
0.10592186319973129,5,500,5,0.7118584857723578
0.017874726294164735,5,500,5,0.7392975101626016
0.0011275442171858885,5,500,5,0.7470464939024389
0.06880784284918964,5,500,5,0.7076346544715447
0.0038735344341772663,4,500,5,0.7251651422764227
1.8415622169004175e-05,5,500,5,0.7433307926829269
0.16692401843117902,3,500,5,0.6996951219512194
0.07931399493023025,4,450,5,0.7348831300813008
0.1432935365224976,5,500,5,0.747681656504065
0.2511081928853676,5,500,5,0.7044270833333333
0.1513213257875733,5,450,4,0.7128429878048781
0.1648194345442024,5,500,5,0.7247522865853658
0.09398655573395312,5,550,5,0.7318025914634148
0.027446206495955697,5,300,5,0.7267212906504065
0.135456020597807,5,500,4,0.7478404471544714
0.26844574969689117,5,500,4,0.7243394308943091
0.18816695174003462,5,300,4,0.6365282012195121
0.13608619284666812,3,400,4,0.7190358231707318
0.21981637117543845,5,550,4,0.704395325203252
0.2798540827197593,5,350,4,0.5407139227642277
0.3502827082300405,3,300,3,0.7064913617886179
0.23610627663338973,5,500,4,0.6877858231707317
0.12174898371774934,5,400,3,0.7293572154471544
0.17722070147084407,5,450,4,0.7124301321138211
0.1490966406118535,3,350,2,0.7220846036585366
0.08962262959043776,5,500,4,0.7287220528455285
0.03222649382633691,4,600,3,0.7547954776422763
0.034499507623300035,4,600,3,0.7353595020325203
0.04709811363494287,4,600,3,0.7295477642276422
0.3832587011102273,4,600,3,0.7070630081300813
0.1143613989511877,4,600,3,0.6830856199186991
0.05778928145769593,4,600,3,0.756446900406504
0.44486180764738537,4,600,3,0.6927718495934959
0.06874417908990665,4,600,3,0.7449504573170731
0.014451732946482884,4,600,3,0.7380907012195121
0.10246527120493089,4,600,3,0.7172891260162602
0.05992197630972612,4,600,3,0.7287379319105691
0.22809608322629144,4,400,3,0.696995680894309
0.29153977523214764,4,550,2,0.7150025406504066
0.20041182668208174,4,600,3,0.7102705792682927
0.47547080729969016,4,350,3,0.6074536331300813
0.02711916815111226,4,600,2,0.7600832063008129
0.0011711915488554145,3,450,2,0.7093813516260161
0.3488837263114996,4,300,2,0.6970909552845528
0.017214515797207626,4,600,2,0.7273246951219512
0.03410445872567455,4,600,2,0.7143991361788617
0.07924765633992528,4,600,2,0.723704268292683
0.05194054471316884,4,600,2,0.7026645071138211
0.08481275368453076,4,600,3,0.7130970528455285
0.10384789738775826,4,600,2,0.7099529979674797
0.033708992152393556,4,550,3,0.7112074441056911
0.06112676797150632,4,400,2,0.6964557926829269
0.16045096180366739,4,600,3,0.7270229928861788
0.12562920893512497,3,350,3,0.7041412601626016
0.0073803037083285915,4,450,2,0.732421875
0.18267575016298296,4,300,3,0.7311356707317074
0.07289722634634643,4,600,2,0.7044588414634145
0.028564134986118615,3,600,3,0.7024580792682926
0.09591620591722741,4,550,3,0.7371061991869918
0.11535160022316547,4,400,2,0.7480309959349594
0.04708974205890977,4,600,3,0.7151295731707317
0.02288060461485443,4,350,2,0.7237360264227642
0.24207331407171223,3,450,3,0.7056656504065041
0.2030250524212145,4,300,3,0.691723831300813
0.133497747225949,4,600,5,0.7079522357723576
0.17190499405911924,3,600,2,0.7222751524390243
0.15849424162253584,4,550,3,0.7407901422764227
0.008455013719509411,4,600,4,0.7198932926829268
0.26346182651371275,4,400,3,0.7147167174796748
0.04169818547643379,4,600,5,0.7316438008130083
0.3998191711279322,3,350,2,0.7016958841463415
0.2166334676562763,4,450,3,0.7345655487804876
0.14238778973396754,4,300,4,0.7294207317073169
0.0689910165733846,4,600,3,0.749682418699187
0.29619304417146597,4,600,2,0.7179878048780488
0.05521097132911366,3,600,5,0.7257050304878048
0.1924367605633127,4,550,3,0.70703125
0.3333806933044452,4,400,3,0.696360518292683
0.4453686950396068,4,600,2,0.6845147357723578
0.000421495377897263,4,350,4,0.7165586890243902
0.11459840574833458,4,300,3,0.713160569105691
0.49997239857746834,3,450,2,0.6960111788617886
0.038717822423245896,4,600,5,0.7218622967479675
0.07882812084289409,5,600,3,0.6945820630081301
0.09500469568365506,4,500,2,0.7392657520325205
0.0144465892602645,4,600,3,0.7349784044715447
0.061894441754888715,4,550,4,0.7355341717479675
0.377058359580236,3,400,3,0.7043000508130082
0.08596072785988174,5,600,2,0.7271659044715448
0.14952822511198952,4,350,5,0.7245617378048781
0.1059036883557164,4,450,3,0.7349784044715448
0.024426302302172704,4,600,2,0.721115980691057
0.12331712387777824,5,300,3,0.7500635162601625
0.04376304124724083,4,500,4,0.7318978658536586
0.23174897698252075,3,600,3,0.696995680894309
0.3242936572603329,4,600,2,0.6860391260162602
0.17605547730161308,4,550,3,0.7168445121951219
0.010871830101914639,4,400,5,0.7432990345528455
0.2756415378958926,5,600,2,0.7037919207317073
0.07364735311214154,4,350,3,0.7364392784552846
